# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22705
#@/user_id	11b0f9ec-6c9a-4124-8c37-c6e1e2ec6fbd
a 	啊	c=136 d=1 t=22529
fen xiang 	分享	c=3 d=1.00211 t=9595
fen zhi 	分支	c=1 d=1 t=11210
fen zu 	分組	c=1 d=1 t=1203
feng 	封	c=2 d=1.8311 t=3065
feng 	逢	c=1 d=1 t=14698
feng bi 	封閉	c=1 d=1 t=4052
feng ci 	諷刺	c=1 d=1 t=4085
feng di 	封底	c=1 d=1 t=12650
feng huang 	鳳凰	c=1 d=1 t=16094
feng huo 	烽火	c=2 d=1.96561 t=10056
feng jing 	風景	c=1 d=1 t=4701
feng le 	瘋了	c=1 d=1 t=3584
feng liu ru ya 	風流儒雅	c=2 d=1.25032 t=19271
feng qi 	蜂起	c=1 d=1 t=12831
feng sheng 	風聲	c=1 d=1 t=8441
feng xian 	風險	c=8 d=1.03008 t=11734
feng xian tou zi 	風險投資	c=2 d=1.00002 t=11575
feng yong er zhi 	蜂擁而至	c=1 d=1 t=10717
feng yun bian se 	風雲變色	c=1 d=1 t=12832
feng zhuang 	封裝	c=1 d=1 t=2313
fo 	佛	c=2 d=1.00407 t=13633
fo jiao 	佛教	c=1 d=1 t=13671
fo jing 	佛經	c=2 d=1.00033 t=15999
fo ru 	佛如	c=2 d=1 t=21757
fou 	否	c=3 d=1 t=19810
fou ding 	否定	c=1 d=1 t=16828
fu 	付	c=2 d=1 t=19821
fu 	伏	c=2 d=1.00644 t=12812
fu 	副	c=1 d=1 t=237
fu 	服	c=2 d=1 t=19644
fu 	父	c=1 d=1 t=14700
fu 	福	c=2 d=1.00004 t=3021
fu 	覆	c=1 d=1 t=11808
fu 	負	c=1 d=0.589192 t=21201
fu chu 	付出	c=1 d=1 t=3846
fu dai 	附帶	c=1 d=1 t=71
fu dan 	負擔	c=1 d=1 t=9587
fu er mo si 	福爾摩斯	c=1 d=1 t=17422
fu fei 	付費	c=1 d=0.319808 t=8092
fu fei ruan jian 	付費軟件	c=1 d=1 t=8093
fu he 	符合	c=1 d=1 t=19901
fu hei 	福黑	c=1 d=1 t=3123
fu hei 	腹黑	c=1 d=1 t=3124
fu jian 	附件	c=2 d=1.94649 t=9156
fu jin 	附近	c=1 d=1 t=2883
fu kuan 	付款	c=1 d=1 t=2784
fu li 	福利	c=0 d=0.1 t=16066
fu lu 	附錄	c=1 d=1 t=16518
fu mian 	負面	c=7 d=4.14461 t=21571
fu mu 	父母	c=1 d=1 t=38
fu qin 	父親	c=1 d=1 t=9661
fu she 	輻射	c=1 d=1 t=3016
fu shu 	負數	c=2 d=1.63763 t=1440
fu song 	附送	c=1 d=1 t=2749
fu wu 	服務	c=7 d=1.63128 t=21024
fu wu qi 	服務器	c=13 d=1.956 t=8038
fu wu qi shang 	服務器上	c=1 d=1 t=8057
fu xi 	付息	c=1 d=1 t=9952
fu xi 	複習	c=1 d=1 t=357
fu xing 	複姓	c=1 d=1 t=17897
fu yin 	輔音	c=1 d=1 t=17470
fu yu 	富餘	c=1 d=1 t=3431
fu yu 	賦予	c=1 d=1 t=10891
fu yun 	浮雲	c=1 d=1 t=17362
fu yun 	符運	c=2 d=1.00002 t=17361
fu za 	複雜	c=4 d=1.00002 t=18843
fu za du 	複雜度	c=1 d=1 t=981
fu za dui 	複雜對	c=2 d=1.91393 t=710
fu zhi 	複製	c=4 d=1 t=20041
fu zhi 	賦值	c=8 d=1 t=17635
fu zhi yi fen 	複製一份	c=1 d=1 t=7055
fu zhong 	伏衆	c=1 d=1 t=18734
gai 	改	c=4 d=1 t=17512
gai 	該	c=26 d=2.16718 t=22601
gai bian 	改變	c=1 d=1 t=19955
gai bian xing wei 	改變行爲	c=1 d=1 t=10754
gai cheng 	改成	c=3 d=1.98511 t=17604
gai dong 	改動	c=2 d=1.94649 t=7991
gai ge 	改革	c=0 d=0.1 t=15804
gai ge kai fa 	改革開發	c=1 d=1 t=15805
gai ge kai fang 	改革開放	c=2 d=1.97045 t=15816
gai ge zhe 	改革者	c=1 d=1 t=12742
gai guo 	改過	c=0 d=0.1 t=22401
gai guo le 	改過了	c=1 d=1 t=22402
gai kuo 	概括	c=1 d=1 t=21826
gai lv 	概率	c=4 d=1.00062 t=22493
gai nian 	概念	c=2 d=1 t=11968
gai qi ye 	該企業	c=1 d=1 t=22452
gai yan jiu 	該研究	c=1 d=1 t=22458
gai yong 	改用	c=1 d=1 t=7391
gan 	感	c=1 d=1 t=22266
gan cui 	乾脆	c=1 d=1 t=5667
gan dao 	感到	c=1 d=1 t=22008
gan huo 	乾貨	c=1 d=1 t=15532
gan jin 	趕緊	c=2 d=1.82696 t=5932
gan jing 	乾淨	c=1 d=1 t=2861
gan jue 	感覺	c=13 d=2.08507 t=17974
gan ma 	幹嘛	c=1 d=1 t=16340
gan mao 	感冒	c=1 d=1 t=2874
gan rao 	干擾	c=1 d=1 t=21708
gan tan 	感嘆	c=1 d=1 t=14036
gan wei 	敢爲	c=0 d=0.1 t=13241
gan wei tian xia 	敢爲天下	c=1 d=1 t=13242
gan xiang 	感想	c=1 d=1 t=9416
gan xie 	感謝	c=0 d=0.1 t=218
gan ying 	感應	c=1 d=1 t=12528
gan yu 	干預	c=1 d=1 t=10933
gan zhao ji 	乾着急	c=1 d=1 t=18127
gan zhi 	感知	c=3 d=2.7387 t=21702
gang 	剛	c=2 d=0.1 t=17279
gang 	鋼	c=2 d=1.85642 t=18684
gang cai 	剛纔	c=5 d=1 t=17953
gang cai bu zai 	剛纔不在	c=1 d=1 t=4582
gang gang 	剛剛	c=3 d=1.30572 t=3783
gang kan 	剛看	c=0 d=0.1 t=6785
gang kan le yi pian wen zhang 	剛看了一篇文章	c=1 d=1 t=6786
gang kan le yi xia 	剛看了一下	c=1 d=1 t=17280
gang qin 	鋼琴	c=1 d=1 t=18919
gang qu 	剛去	c=1 d=1 t=6422
gang ru men 	剛入門	c=1 d=1 t=210
gang zai 	剛在	c=1 d=1 t=3582
gao 	搞	c=9 d=0.329925 t=18299
gao 	高	c=4 d=1 t=14539
gao bu ding 	搞補丁	c=1 d=1 t=18300
gao bu guo 	搞不過	c=1 d=1 t=5152
gao bu qi 	搞不起	c=1 d=1 t=6641
gao da 	高大	c=1 d=1 t=18298
gao de 	搞得	c=1 d=1 t=1517
gao di 	高帝	c=1 d=1 t=13521
gao dian 	搞點	c=1 d=1 t=1312
gao ding 	搞定	c=0 d=0.1 t=7168
gao ding le 	搞定了	c=1 d=1 t=7169
gao duan 	高端	c=4 d=1.97531 t=18316
gao duan ke hu qun 	高端客戶羣	c=1 d=1 t=1982
gao fa 	搞法	c=1 d=1 t=17606
gao fen 	高分	c=2 d=1.57463 t=2719
gao feng xian 	高風險	c=4 d=3.91635 t=465
gao ge 	搞個	c=2 d=1.00001 t=4707
gao huan 	高歡	c=1 d=1 t=13787
gao ji 	高級	c=0 d=0.1 t=2314
gao kao 	高考	c=1 d=1 t=16015
gao ke ji 	高科技	c=2 d=1 t=21954
gao le 	搞了	c=1 d=1 t=5161
gao le 	高了	c=1 d=1.00004 t=5160
gao le yi ge 	高了一個	c=1 d=1 t=3616
gao liang 	高亮	c=8 d=1 t=17240
gao min 	告緡	c=1 d=1 t=9478
gao qi lai 	搞起來	c=1 d=1 t=5215
gao qing 	高清	c=2 d=1.99005 t=19720
gao shen 	高深	c=1 d=1 t=678
gao shou 	高手	c=1 d=1 t=16079
gao si 	高斯	c=2 d=1.99501 t=5798
gao su 	告訴	c=1 d=0.1 t=15218
gao su le 	告訴了	c=1 d=1 t=15219
gao su wo 	告訴我	c=2 d=1 t=16548
gao wu 	高五	c=1 d=1 t=5905
gao xia qu 	搞下去	c=1 d=1 t=3940
gao xin 	高薪	c=2 d=1.91851 t=11020
gao yu 	高於	c=2 d=1.02774 t=11703
gao zheng zhi 	搞政治	c=1 d=1 t=15440
gao zhi 	告知	c=1 d=1 t=2584
gao zhi shang 	高志尚	c=1 d=1 t=12193
gao zhong 	高中	c=1 d=1 t=19990
ge 	個	c=34 d=1 t=22652
ge 	哥	c=1 d=1 t=19121
ge 	戈	c=1 d=1 t=17688
ge 	隔	c=3 d=1.15791 t=11977
ge 	革	c=2 d=1.04573 t=14220
ge bo 	胳膊	c=1 d=1 t=15944
ge fang 	各方	c=1 d=1 t=10635
ge ge 	各個	c=1 d=1 t=16574
ge ge bu fen 	各個部分	c=1 d=1 t=5693
ge ge fang mian 	各個方面	c=1 d=1 t=17143
ge guo 	各國	c=1 d=1 t=20552
ge ju 	割據	c=1 d=1 t=11779
ge ju 	歌劇	c=1 d=1 t=11778
ge ming xing 	革命性	c=1 d=1 t=5137
ge ren 	個人	c=2 d=1 t=19980
ge ren pian hao 	個人偏好	c=1 d=1 t=10950
ge shi 	格式	c=10 d=1.09324 t=22340
ge shi jian cha 	格式檢查	c=1 d=1 t=17849
ge shi shang 	格式上	c=1 d=1 t=22327
ge ti 	個體	c=7 d=1.08881 t=22628
ge ti hu 	個體戶	c=1 d=1 t=9572
ge ti xiao fei zhe 	個體消費者	c=1 d=1 t=22603
ge xing 	個性	c=1 d=1 t=22281
ge you 	各有	c=2 d=1.67368 t=15962
ge zhong 	各種	c=6 d=1 t=18053
ge zi 	各自	c=2 d=1 t=15575
gei 	給	c=26 d=1.97047 t=17667
gei bie ren 	給別人	c=1 d=1 t=1647
gei chu 	給出	c=1 d=1.01851 t=13548
gei chu le 	給出了	c=1 d=1 t=13549
gei ding 	給定	c=2 d=1.57407 t=10465
gei le 	給了	c=1 d=1 t=17636
gei ni 	給你	c=5 d=1.00031 t=18443
gei ni tui jian yi ge 	給你推薦一個	c=1 d=1 t=25
gei ta 	給他	c=0 d=0.1 t=16613
gei wo 	給我	c=3 d=0.1 t=17904
gei wo ge 	給我個	c=1 d=1 t=17905
gei yu 	給予	c=2 d=1.19301 t=22016
gen ben 	根本	c=2 d=1 t=18981
gen ju 	根據	c=17 d=1.70872 t=22191
gen ju wo 	根據我	c=1 d=1 t=18286
gen zhe 	跟着	c=2 d=1 t=15083
geng 	更	c=10 d=1.15644 t=22136
geng bu shi 	更不是	c=1 d=1 t=5588
geng da 	更大	c=1 d=1 t=15825
geng duo 	更多	c=7 d=1 t=22393
geng gao 	更高	c=2 d=1 t=22018
geng hao 	更好	c=7 d=1 t=21168
geng huo 	耕穫	c=1 d=1 t=2001
geng jia 	更加	c=6 d=1.0599 t=22013
geng qing chu 	更清楚	c=1 d=1 t=6372
geng shi 	更是	c=1 d=1 t=20534
geng ti 	更替	c=2 d=1.90484 t=13813
geng wei 	更爲	c=2 d=1 t=22151
geng xin 	更新	c=9 d=1.03869 t=17697
geng xin le 	更新了	c=1 d=1 t=9275
geng you 	更有	c=2 d=1.042 t=16700
geng you shen zhi 	更有甚至	c=1 d=1 t=14015
geng zheng 	更正	c=1 d=1 t=3586
geng zuo 	耕作	c=1 d=1 t=9616
gong 	公	c=10 d=0.1 t=22535
gong 	共	c=0 d=0.1 t=13041
gong 	功	c=2 d=1 t=12435
gong 	恭	c=1 d=1 t=13070
gong 	貢	c=2 d=1.90937 t=14599
gong chan dang 	共產黨	c=1 d=1 t=13922
gong chen 	功臣	c=1 d=1 t=13407
gong cheng 	工程	c=2 d=1 t=9129
gong cheng shi 	工程師	c=1 d=1 t=5128
gong dian 	供電	c=1 d=1 t=5352
gong fu 	功夫	c=1 d=0.1 t=19305
gong gan 	公幹	c=1 d=1 t=13197
gong gong 	公共	c=2 d=1 t=20931
gong gong qi che 	公共汽車	c=1 d=1 t=2888
gong ji 	供給	c=1 d=1 t=10974
gong ji 	攻擊	c=1 d=0.1 t=19008
gong ji yi xia 	攻擊一下	c=1 d=1 t=19009
gong ju 	工具	c=10 d=1 t=15705
gong ju lei 	工具類	c=1 d=1 t=7392
gong kai 	公開	c=1 d=1 t=503
gong min 	公民	c=1 d=1 t=16206
gong ming 	共鳴	c=2 d=1.96561 t=22308
gong neng 	功能	c=9 d=2.34711 t=18135
gong ou guan le 	公歐冠了	c=1 d=1 t=22536
gong qi lai 	公起來	c=1 d=1 t=15697
gong qing 	公卿	c=1 d=1 t=15688
gong qiu 	供求	c=1 d=1 t=10629
gong ren 	公認	c=1 d=1 t=13748
gong ren 	工人	c=1 d=1 t=13747
gong si 	公司	c=14 d=1.00059 t=21967
gong sun 	公孫	c=1 d=1 t=16275
gong tian xia 	共天下	c=1 d=1 t=13042
gong ting 	宮廷	c=0 d=0.1 t=13801
gong ting shi 	宮廷史	c=1 d=1 t=13802
gong tong 	共同	c=1 d=1 t=3368
gong tou 	公投	c=1 d=1 t=9975
gong xian 	貢獻	c=4 d=1 t=20880
gong xing 	弓形	c=0 d=0.1 t=16239
gong xing chong 	弓形蟲	c=1 d=1 t=16240
gong yang 	公羊	c=11 d=1.00535 t=16259
gong yang zhuan 	公羊傳	c=3 d=2.0761 t=14807
gong yi 	公益	c=1 d=1 t=11643
gong ying lian 	供應鏈	c=1 d=1 t=11246
gong yong 	共用	c=1 d=1 t=4790
gong yuan 	公元	c=2 d=1 t=17116
gong yuan 	公園	c=2 d=1 t=17117
gong zhong 	公衆	c=7 d=1 t=19641
gong zi 	工資	c=5 d=2.67394 t=11000
gong zi jiu gao 	工資就高	c=1 d=1 t=8649
gong zuo 	工作	c=9 d=1 t=17967
gong zuo shi jian 	工作時間	c=3 d=2.89843 t=6870
gong zuo zhe 	工作者	c=0 d=0.1 t=234
gong zuo zhong 	工作中	c=1 d=1 t=8016
gou 	夠	c=2 d=1 t=5984
gou cheng 	構成	c=2 d=1 t=16917
gou jian 	構建	c=3 d=1.00861 t=21177
gou jie 	勾結	c=1 d=1 t=22547
gou le 	夠了	c=1 d=1 t=5730
gou mai 	購買	c=25 d=2.53055 t=22656
gou mai xing wei 	購買行爲	c=2 d=1.01974 t=21167
gou ru 	購入	c=1 d=1 t=11728
gou tong 	溝通	c=2 d=1.00019 t=7140
gou wu 	購物	c=0 d=0.1 t=22437
gou wu chang suo 	購物場所	c=1 d=1 t=22438
gou wu xiang 	購物箱	c=1 d=1 t=6945
gou xiang 	構想	c=1 d=1 t=5635
gou xue pen tou 	狗血噴頭	c=1 d=1 t=14824
gou yong 	夠用	c=1 d=0.1 t=7891
gou yong le 	夠用了	c=1 d=1 t=7892
gou zao 	構造	c=1 d=1 t=13866
gu 	古	c=2 d=1 t=19547
gu 	顧	c=2 d=1.98511 t=2078
gu 	骨	c=1 d=1 t=17859
gu dai 	古代	c=1 d=1 t=18954
gu dian 	古典	c=3 d=1 t=20715
gu ding 	固定	c=4 d=1 t=17995
gu er 	孤兒	c=3 d=1 t=22224
gu er 	故而	c=3 d=1 t=22225
gu ji 	估計	c=10 d=1 t=18850
gu jia 	股價	c=1 d=1 t=11683
gu jian 	固件	c=2 d=1 t=4950
gu jin 	古今	c=1 d=1 t=18870
gu ke 	顧客	c=1 d=1 t=9716
gu li 	鼓勵	c=1 d=1 t=19784
gu liang 	穀梁	c=11 d=4.67946 t=14911
gu liang zhuan 	穀梁傳	c=1 d=1 t=14827
gu piao 	股票	c=2 d=1.95123 t=11699
gu quan 	股權	c=1 d=1 t=11688
gu shi 	故事	c=1 d=1 t=19620
gu shu 	古書	c=1 d=1 t=19326
gu yong 	僱傭	c=4 d=1 t=21900
gu yuan 	僱員	c=1 d=1 t=11013
gu zhang 	故障	c=1 d=1 t=21711
gu zheng 	古箏	c=1 d=1 t=6260
gu zhu 	僱主	c=1 d=1 t=10979
guai 	怪	c=2 d=1 t=12239
guai li 	怪力	c=1 d=1 t=15019
guan 	官	c=1 d=1 t=9414
guan 	管	c=1 d=1 t=3778
guan 	關	c=2 d=1 t=19119
guan ce 	觀測	c=1 d=1.08694 t=10836
guan ce dao 	觀測到	c=1 d=1 t=10809
guan cha 	觀察	c=2 d=1 t=21378
guan che 	貫徹	c=1 d=1 t=15755
guan dian 	觀點	c=0 d=0.1 t=13950
guan dian ren wei 	觀點認爲	c=1 d=1 t=13951
guan du 	官渡	c=3 d=2.63264 t=19546
guan du zhi zhan 	官渡之戰	c=4 d=2.4758 t=19639
guan fang 	官方	c=1 d=1 t=16004
guan huai 	關懷	c=1 d=1 t=19529
guan jian 	關鍵	c=1 d=0.1 t=18609
guan jian ci 	關鍵詞	c=1 d=1 t=5407
guan jian shi 	關鍵是	c=1 d=1 t=18610
guan li 	官吏	c=2 d=1.81873 t=13888
guan li 	管理	c=4 d=1 t=11196
guan li qi 	管理器	c=0 d=0.1 t=17834
guan li yuan 	管理員	c=4 d=1.00001 t=8385
guan li zhe 	管理者	c=3 d=1.67944 t=21184
guan liao 	官僚	c=1 d=1 t=15703
guan tou 	罐頭	c=1 d=1 t=17384
guan xi 	關係	c=13 d=2.70673 t=22012
guan xing 	觀星	c=1 d=1 t=4941
guan xue 	官學	c=1 d=1 t=15427
guan yong 	管用	c=2 d=1 t=6385
guan yu 	關於	c=12 d=1.55754 t=19617
guan yu 	關羽	c=4 d=2.41385 t=19235
guan yuan 	官員	c=1 d=1 t=13544
guan zhu 	關注	c=2 d=1.00024 t=22036
guan zhu guo 	關注過	c=1 d=1 t=1723
guang 	光	c=3 d=1 t=14488
guang 	逛	c=2 d=0.129307 t=6968
guang biao 	光標	c=1 d=1 t=7624
guang dian lv 	逛電驢	c=1 d=1 t=6969
guang fa 	廣發	c=1 d=1 t=11117
guang fan 	廣泛	c=3 d=1 t=14228
guang gao 	廣告	c=1 d=1 t=11644
guang hua 	光滑	c=1 d=1 t=11854
guang wei 	廣爲	c=0 d=0.1 t=18825
guang wei ren zhi 	廣爲認知	c=1 d=1 t=18826
guang wu 	光武	c=1 d=1 t=12768
guang wu di 	光武帝	c=5 d=3.57446 t=13537
gui 	歸	c=2 d=1 t=13098
gui 	貴	c=3 d=1 t=21471
gui bao 	瑰寶	c=1 d=1 t=12189
gui bin 	貴賓	c=1 d=1 t=8403
gui ding 	規定	c=4 d=1 t=11234
gui fan 	規範	c=2 d=1.88692 t=7443
gui hua 	規劃	c=1 d=1 t=20175
gui ju 	規矩	c=2 d=1.98511 t=13512
gui lai 	歸來	c=0 d=0.1 t=989
gui lei 	歸類	c=2 d=1.99501 t=7491
gui lv 	規律	c=1 d=1 t=6187
gui mo 	規模	c=8 d=1.71177 t=20545
gui qiu 	跪求	c=1 d=1 t=4711
gui yi 	詭異	c=1 d=1 t=13540
gui ze 	規則	c=3 d=1 t=10956
gui zhang 	規章	c=1 d=1 t=15715
gui zu 	貴族	c=1 d=1 t=15079
gui zui yu 	歸罪於	c=1 d=1 t=12957
gun dan 	滾蛋	c=2 d=1.98511 t=5774
guo 	國	c=7 d=1.10102 t=16970
guo 	過	c=12 d=1 t=21464
guo cheng 	過程	c=6 d=1 t=22172
guo cheng zhong 	過程中	c=1 d=1 t=9565
guo de 	過的	c=1 d=1 t=17963
guo di 	鍋底	c=1 d=1 t=18849
guo du 	過度	c=1 d=1 t=13903
guo duan 	果斷	c=1 d=1 t=4012
guo duan 	過段	c=1 d=1 t=17870
guo fu lun 	國富論	c=1 d=1 t=376
guo hua 	國畫	c=2 d=1.82283 t=15870
guo huai 	國槐	c=1 d=1 t=5982
guo ji 	國際	c=2 d=0.1 t=20395
guo ji chang tu 	國際長途	c=1 d=1 t=20396
guo jia 	國家	c=15 d=2.33307 t=21614
guo jia wen ding 	國家穩定	c=1 d=1 t=13912
guo jing xian 	國境線	c=1 d=1 t=9335
guo le 	過了	c=1 d=1 t=8785
guo nei 	國內	c=4 d=1 t=9971
guo nei wai 	國內外	c=1 d=1 t=20450
guo ran 	果然	c=3 d=1 t=17624
guo ran shi 	果然是	c=2 d=1 t=14808
guo shi 	國史	c=1 d=1 t=14450
guo wai 	國外	c=2 d=1 t=9963
guo you bu ji 	過猶不及	c=1 d=1 t=14609
guo yu 	國語	c=5 d=4.92105 t=6303
guo yu 	過於	c=2 d=1 t=19397
guo zei 	國賊	c=1 d=1 t=19365
guo zhai 	國債	c=3 d=1.99542 t=11649
guo zhan 	國戰	c=5 d=1.07851 t=18372
guo zuo 	國祚	c=1 d=1 t=12448
ha 	哈	c=0 d=0.1 t=21915
ha fa xian 	哈發現	c=1 d=1 t=21916
ha fo 	哈佛	c=1 d=1 t=8750
ha ha 	哈哈	c=6 d=1.09348 t=18421
ha ha ha 	哈哈哈	c=1 d=1 t=12241
ha li bo te 	哈利波特	c=6 d=3.894 t=3517
ha ye ke 	哈耶克	c=2 d=1.97531 t=13250
hai 	海	c=1 d=1 t=17456
hai 	還	c=31 d=1.01999 t=22459
hai bi jiao 	還比較	c=1 d=1 t=7540
hai bu 	還不	c=1 d=1 t=3496
hai bu cuo 	還不錯	c=2 d=1 t=14617
hai chu zai 	還處在	c=1 d=1 t=6122
hai fa xian 	還發現	c=1 d=1 t=21917
hai hao 	還好	c=2 d=1 t=11998
hai hui 	還會	c=1 d=1 t=7076
hai ke yi 	還可以	c=4 d=1 t=12352
hai mei 	還沒	c=1 d=1 t=6323
hai mei you 	還沒有	c=9 d=1.00001 t=20815
hai neng 	還能	c=0 d=0.1 t=6181
hai neng gou 	還能夠	c=1 d=1 t=17146
hai neng ren shi 	還能認識	c=1 d=1 t=1633
hai neng yong lai 	還能用來	c=1 d=1 t=6182
hai pa 	害怕	c=2 d=1 t=14482
hai shi 	還是	c=47 d=1.98052 t=22408
hai suan 	還算	c=0 d=0.1 t=5413
hai xing 	還行	c=2 d=1.00002 t=14614
hai xu yao 	還需要	c=1 d=1 t=12103
hai yi 	還以	c=0 d=0.1 t=16621
hai yi wei 	還以爲	c=1 d=1 t=16622
hai you 	還有	c=8 d=1 t=22361
hai you mei you ren 	還有沒有人	c=1 d=1 t=4952
hai you shen me 	還有什麼	c=1 d=1 t=5450
hai you zhe 	還有這	c=1 d=1 t=20111
hai zai 	還在	c=2 d=1 t=17158
hai zhen nan 	還真難	c=0 d=0.1 t=14575
hai zhen nan shuo 	還真難說	c=1 d=1 t=14576
han 	含	c=1 d=1 t=15498
han 	漢	c=11 d=1.07238 t=16023
han chao 	漢朝	c=22 d=1.04956 t=16833
han chen 	寒磣	c=1 d=1 t=1673
han dong 	撼動	c=0 d=0.1 t=12822
han dong le 	撼動了	c=1 d=1 t=12823
han gao di 	漢高帝	c=2 d=1.8311 t=13539
han gao zu 	漢高祖	c=1 d=1 t=13500
han hua 	漢化	c=1 d=1 t=13640
han jia 	寒假	c=2 d=1.79852 t=2970
han jia 	漢家	c=0 d=0.1 t=11749
han jia hu xi zhong fen tong 	漢家虎璽重分銅	c=1 d=1 t=11750
han jing di 	漢景帝	c=2 d=1.956 t=12394
han shu 	函數	c=11 d=1.0688 t=18431
han shu mei 	函數沒	c=1 d=1 t=7466
han shu zhi jie 	函數直接	c=1 d=1 t=4677
han wang chao 	漢王朝	c=2 d=1.98511 t=13568
han wen di 	漢文帝	c=6 d=1.7914 t=13275
han wu di 	漢武帝	c=5 d=2.06026 t=13329
han xin 	韓信	c=3 d=1.99594 t=11912
han zhong 	漢中	c=1 d=1 t=14025
han zi 	漢字	c=1 d=1 t=2922
hang 	行	c=4 d=2.08376 t=17289
hang kong gong si 	航空公司	c=1 d=1 t=11385
hang shu 	行數	c=2 d=1 t=6225
hang ye 	行業	c=1 d=1 t=20461
hao 	好	c=23 d=1.35674 t=18427
hao 	號	c=7 d=2.41604 t=16978
hao 	豪	c=1 d=1 t=17482
hao ba 	好吧	c=4 d=1 t=8863
hao bi 	好比	c=1 d=0.1 t=15802
hao bi shuo 	好比說	c=1 d=1 t=15803
hao cheng 	號稱	c=1 d=1 t=15182
hao chi 	好吃	c=1 d=1 t=2932
hao chu 	好處	c=2 d=1 t=8646
hao da 	好大	c=1 d=1 t=7162
hao de 	好的	c=2 d=1.96561 t=83
hao di fang 	好地方	c=1 d=1 t=7175
hao duo 	好多	c=4 d=1 t=12068
hao duo le 	好多了	c=1 d=1 t=4049
hao hen duo 	好很多	c=1 d=1 t=18133
hao huang di 	好皇帝	c=1 d=1 t=12495
hao ji ge 	好幾個	c=1 d=1 t=7073
hao kan 	好看	c=1 d=1 t=2805
hao kong bu 	好恐怖	c=1 d=1 t=3378
hao le 	好了	c=5 d=1 t=16756
hao ma 	號碼	c=1 d=1 t=2834
hao qi 	好奇	c=1 d=1 t=19040
hao shuo 	好說	c=1 d=1 t=8752
hao wu yi wen 	毫無疑問	c=5 d=1.01289 t=22160
hao yi xie 	好一些	c=2 d=1 t=5521
hao yong 	好用	c=2 d=1 t=15633
hao you 	好友	c=2 d=1 t=17933
hao zai 	好在	c=1 d=1 t=6651
hao zhuan 	好轉	c=1 d=1 t=8499
he 	何	c=1 d=1 t=21399
he 	合	c=5 d=2.72296 t=17497
he 	和	c=206 d=3.51812 t=22641
he 	喝	c=1 d=1 t=4927
he 	河	c=1 d=1 t=4187
he 	赫	c=1 d=1 t=9989
he 	頜	c=2 d=1.95123 t=18508
he an 	河岸	c=1 d=1 t=17121
he bei 	河北	c=1 d=1 t=16180
he bi 	何必	c=2 d=1 t=12334
he fei 	合肥	c=2 d=1.97045 t=11837
he he 	呵呵	c=2 d=1 t=5946
he hu 	合乎	c=1 d=1 t=19880
he huo ren 	合夥人	c=1 d=1 t=8473
he jin 	何進	c=1 d=1 t=12834
he lan 	荷蘭	c=0 d=0.1 t=3956
he lan mei qu guo 	荷蘭沒去過	c=1 d=1 t=3957
he mao cai 	和茂才	c=1 d=1 t=21398
he mu 	和睦	c=1 d=1 t=7195
he ping 	和平	c=1 d=1 t=13285
he tong 	合同	c=8 d=1.9802 t=16651
he tu 	河圖	c=1 d=1 t=16098
he wo 	和我	c=1 d=1 t=6239
he xie 	和諧	c=2 d=1.85642 t=21205
he xie fa zhan 	和諧發展	c=1 d=1 t=20227
he xin 	核心	c=1 d=1 t=5244
he xin qi kan 	核心期刊	c=1 d=1 t=13737
he yi 	合一	c=1 d=1 t=14171
he zai 	何在	c=1 d=1 t=11885
he zai yi qi 	合在一起	c=0 d=0.1 t=20156
he zi 	盒子	c=4 d=1.09005 t=21716
he zuo 	合作	c=3 d=1 t=13613
hei 	黑	c=4 d=1 t=16135
hei an 	黑暗	c=1 d=1 t=12856
hei ke 	黑客	c=10 d=1 t=17266
hei ke jun tuan 	黑客軍團	c=3 d=2.03028 t=1150
hei mei 	黑莓	c=2 d=1 t=5237
hei zhou 	黑軸	c=1 d=1 t=6686
hen 	很	c=19 d=0.405649 t=19960
hen bu 	很不	c=0 d=0.1 t=13804
hen bu cuo 	很不錯	c=2 d=1 t=13726
hen bu duo jian 	很不多見	c=1 d=1 t=13805
hen bu shuang 	很不爽	c=1 d=1 t=2431
hen can 	很慘	c=1 d=1 t=5102
hen chang 	很長	c=1 d=1 t=1275
hen cheng shu 	很成熟	c=1 d=1 t=4259
hen da cheng du shang 	很大程度上	c=1 d=1 t=6668
hen dan diao 	很單調	c=1 d=1 t=18000
hen duo 	很多	c=30 d=1.19553 t=22242
hen duo a 	很多啊	c=1 d=1 t=17715
hen duo de 	很多的	c=1 d=1 t=9192
hen duo di fang 	很多地方	c=1 d=1 t=8613
hen duo dou hen 	很多都很	c=1 d=1 t=6201
hen duo nian 	很多年	c=2 d=1 t=14380
hen duo qi ye 	很多企業	c=1 d=1 t=22226
hen duo ren 	很多人	c=3 d=1 t=13941
hen duo ren dou 	很多人都	c=0 d=0.1 t=13758
hen duo ren dou you 	很多人都有	c=1 d=1 t=13759
hen duo shi hou 	很多時候	c=1 d=1 t=9234
hen duo ye wu 	很多業務	c=1 d=1 t=6940
hen fan 	很煩	c=1 d=1 t=5908
hen fang bian 	很方便	c=3 d=1 t=12064
hen fu 	恨賦	c=0 d=0.1 t=12109
hen fu za 	恨賦雜	c=1 d=1 t=12110
hen gao ji 	很高級	c=1 d=1 t=2315
